Anova_pp,Anova_var_I1,Anova_var_I2,Anova_var_I3,Anova_var_D,dataset
1,0,0,0,3,datasetANOVA
2,0,0,0,5,datasetANOVA
3,0,0,0,5,datasetANOVA
4,0,0,0,2,datasetANOVA
5,0,0,0,3,datasetANOVA
6,0,0,0,3,datasetANOVA
7,0,0,0,2,datasetANOVA
8,0,0,0,4,datasetANOVA
9,0,0,0,4,datasetANOVA
10,0,0,0,4,datasetANOVA
11,0,0,1,7,datasetANOVA
12,0,0,1,4,datasetANOVA
13,0,0,1,4,datasetANOVA
14,0,0,1,4,datasetANOVA
15,0,0,1,6,datasetANOVA
16,0,0,1,7,datasetANOVA
17,0,0,1,4,datasetANOVA
18,0,0,1,3,datasetANOVA
19,0,0,1,4,datasetANOVA
20,0,0,1,3,datasetANOVA
61,1,0,0,54,datasetANOVA
62,1,0,0,53,datasetANOVA
63,1,0,0,55,datasetANOVA
64,1,0,0,55,datasetANOVA
65,1,0,0,55,datasetANOVA
66,1,0,0,51,datasetANOVA
67,1,0,0,54,datasetANOVA
68,1,0,0,51,datasetANOVA
69,1,0,0,54,datasetANOVA
70,1,0,0,52,datasetANOVA
71,1,0,1,55,datasetANOVA
72,1,0,1,55,datasetANOVA
73,1,0,1,54,datasetANOVA
74,1,0,1,53,datasetANOVA
75,1,0,1,56,datasetANOVA
76,1,0,1,55,datasetANOVA
77,1,0,1,54,datasetANOVA
78,1,0,1,57,datasetANOVA
79,1,0,1,57,datasetANOVA
80,1,0,1,54,datasetANOVA
121,2,0,0,105,datasetANOVA
122,2,0,0,105,datasetANOVA
123,2,0,0,104,datasetANOVA
124,2,0,0,104,datasetANOVA
125,2,0,0,102,datasetANOVA
126,2,0,0,104,datasetANOVA
127,2,0,0,105,datasetANOVA
128,2,0,0,103,datasetANOVA
129,2,0,0,101,datasetANOVA
130,2,0,0,105,datasetANOVA
131,2,0,1,106,datasetANOVA
132,2,0,1,103,datasetANOVA
133,2,0,1,107,datasetANOVA
134,2,0,1,106,datasetANOVA
135,2,0,1,106,datasetANOVA
136,2,0,1,103,datasetANOVA
137,2,0,1,106,datasetANOVA
138,2,0,1,107,datasetANOVA
139,2,0,1,104,datasetANOVA
140,2,0,1,103,datasetANOVA
21,0,1,0,13,datasetANOVA
22,0,1,0,14,datasetANOVA
23,0,1,0,13,datasetANOVA
24,0,1,0,14,datasetANOVA
25,0,1,0,11,datasetANOVA
26,0,1,0,12,datasetANOVA
27,0,1,0,15,datasetANOVA
28,0,1,0,14,datasetANOVA
29,0,1,0,12,datasetANOVA
30,0,1,0,13,datasetANOVA
31,0,1,1,13,datasetANOVA
32,0,1,1,13,datasetANOVA
33,0,1,1,14,datasetANOVA
34,0,1,1,13,datasetANOVA
35,0,1,1,16,datasetANOVA
36,0,1,1,14,datasetANOVA
37,0,1,1,14,datasetANOVA
38,0,1,1,14,datasetANOVA
39,0,1,1,14,datasetANOVA
40,0,1,1,16,datasetANOVA
81,1,1,0,66,datasetANOVA
82,1,1,0,64,datasetANOVA
83,1,1,0,66,datasetANOVA
84,1,1,0,64,datasetANOVA
85,1,1,0,64,datasetANOVA
86,1,1,0,63,datasetANOVA
87,1,1,0,66,datasetANOVA
88,1,1,0,63,datasetANOVA
89,1,1,0,63,datasetANOVA
90,1,1,0,64,datasetANOVA
91,1,1,1,65,datasetANOVA
92,1,1,1,67,datasetANOVA
93,1,1,1,65,datasetANOVA
94,1,1,1,67,datasetANOVA
95,1,1,1,68,datasetANOVA
96,1,1,1,65,datasetANOVA
97,1,1,1,68,datasetANOVA
98,1,1,1,67,datasetANOVA
99,1,1,1,64,datasetANOVA
100,1,1,1,64,datasetANOVA
141,2,1,0,116,datasetANOVA
142,2,1,0,116,datasetANOVA
143,2,1,0,116,datasetANOVA
144,2,1,0,113,datasetANOVA
145,2,1,0,114,datasetANOVA
146,2,1,0,117,datasetANOVA
147,2,1,0,115,datasetANOVA
148,2,1,0,116,datasetANOVA
149,2,1,0,115,datasetANOVA
150,2,1,0,115,datasetANOVA
151,2,1,1,115,datasetANOVA
152,2,1,1,117,datasetANOVA
153,2,1,1,117,datasetANOVA
154,2,1,1,116,datasetANOVA
155,2,1,1,119,datasetANOVA
156,2,1,1,115,datasetANOVA
157,2,1,1,116,datasetANOVA
158,2,1,1,115,datasetANOVA
159,2,1,1,119,datasetANOVA
160,2,1,1,117,datasetANOVA
41,0,2,0,22,datasetANOVA
42,0,2,0,24,datasetANOVA
43,0,2,0,25,datasetANOVA
44,0,2,0,21,datasetANOVA
45,0,2,0,23,datasetANOVA
46,0,2,0,24,datasetANOVA
47,0,2,0,22,datasetANOVA
48,0,2,0,25,datasetANOVA
49,0,2,0,23,datasetANOVA
50,0,2,0,24,datasetANOVA
51,0,2,1,24,datasetANOVA
52,0,2,1,24,datasetANOVA
53,0,2,1,23,datasetANOVA
54,0,2,1,24,datasetANOVA
55,0,2,1,25,datasetANOVA
56,0,2,1,25,datasetANOVA
57,0,2,1,27,datasetANOVA
58,0,2,1,23,datasetANOVA
59,0,2,1,26,datasetANOVA
60,0,2,1,27,datasetANOVA
101,1,2,0,75,datasetANOVA
102,1,2,0,77,datasetANOVA
103,1,2,0,76,datasetANOVA
104,1,2,0,75,datasetANOVA
105,1,2,0,75,datasetANOVA
106,1,2,0,76,datasetANOVA
107,1,2,0,73,datasetANOVA
108,1,2,0,73,datasetANOVA
109,1,2,0,73,datasetANOVA
110,1,2,0,73,datasetANOVA
111,1,2,1,77,datasetANOVA
112,1,2,1,79,datasetANOVA
113,1,2,1,79,datasetANOVA
114,1,2,1,78,datasetANOVA
115,1,2,1,75,datasetANOVA
116,1,2,1,76,datasetANOVA
117,1,2,1,78,datasetANOVA
118,1,2,1,77,datasetANOVA
119,1,2,1,75,datasetANOVA
120,1,2,1,79,datasetANOVA
161,2,2,0,125,datasetANOVA
162,2,2,0,129,datasetANOVA
163,2,2,0,125,datasetANOVA
164,2,2,0,129,datasetANOVA
165,2,2,0,129,datasetANOVA
166,2,2,0,128,datasetANOVA
167,2,2,0,126,datasetANOVA
168,2,2,0,126,datasetANOVA
169,2,2,0,125,datasetANOVA
170,2,2,0,127,datasetANOVA
171,2,2,0,125,datasetANOVA
172,2,2,0,129,datasetANOVA
173,2,2,0,125,datasetANOVA
174,2,2,0,129,datasetANOVA
175,2,2,0,129,datasetANOVA
176,2,2,0,128,datasetANOVA
